Business_id,Business_Name,Contact_person,Local_Address,City,Pincode,State,GST_Number
AHCV651,Aadinath Enterprises Plumbing And Hardware Shop,Mukul Jain,Ashtabhuja Ward Babupeth,Chandrapur,442401,Maharashtra,No Data
APCV651,Aadinath Enterprises Plumbing And Hardware Shop,Siddarth Jain,Ashtabhuja Ward Babupeth,Chandrapur,442401,Maharashtra,No Data
AHBP630,Aadishakti Medical & General Stores Bhandara,Mr. Saurabh Thantharate,Narkesari Ward,Bhandara,441904,Maharashtra,No Data
ACBD206,Aadvik Home Health Care,Dr. Hariom Patel,Chamber No. 365 Uttam Chand Israni Lawyers Chamber District,Bhopal,462030,Madhya Pradesh,No Data
ADND365,Aadya Multispeciality Dental Clinic,Saurabh Tumane,Sharma Complex Shivaji Nagar Koradi,Nagpur,462041,Maharashtra,No Data
AFAS478,Aadyas Cut N Curve Fitness Hub & Dance Academy,Priti Ghulhane,NityaNo Datad Colony Akoli Road Sai Nagar Beside Lawanya Beau,Amravati,444607,Maharashtra,No Data
AWNM1214,Aahana Creations,Pooja Khandelwar,Garden Katol Rd Near Kt Nagar Kt Nagar,Nagpur,440013,Maharashtra,No Data
AECV424,Aai Baba Payro Event,Lokesh Wandhare,Rudra Hanuman Mandir RoadRastrawadi Nagar Bihind Sai Iti C,Chandrapur,442401,Maharashtra,No Data
AMAJ772,Aai Nursing Home,Dr. Rajashree Patil,Plot No. 15 Midc Bajaj Nagar Waluj,Aurangabad,431005,Maharashtra,No Data
APAP882,Aai Photo Studio,Pawan Sir,Address Thakare Nagar Rd Kamgar Chowk Prabodhankar Thakare,Aurangabad,431001,Maharashtra,No Data
APNR972,Aai Physiotherapy Center,Dr. Pratik,No Datadurkar Building Malginagar Square Beside Gandhibagh Sahak,Nagpur,440010,Maharashtra,No Data
ATAN1116,Aai Taxi Center,Gajanan,Pkv Colony Malkapur,Akola,444001,Maharashtra,No Data
ACAP167,Aai Tulja Bhawani Caterers,Ganesh Pandav,Shiwaji Nagar Near Aai Tulja Bhawani Mandir,Akola,444002,Maharashtra,No Data
ATNR1181,Aajao Travl Link,Himanshu Bilakhiya,402 ANo Datad Complex Manish Nagar Main Rd Panchatara Society,Nagpur,440015,Maharashtra,No Data
AMBA790,Aakar By Ganesh Marble,Dhirajkumar Patel,No Data,Bhandara,441904,Maharashtra,No Data
AAAH2,Aakar Design Studio,Rajesh Agrawal,Shop No. 108 Ground Floor Shivaji Commercial Centre Ravi,Amravati,444602,Maharashtra,No Data
ASCR1083,Aakar Electronics,Mr Jugal,Shop No 24 Stadium Complex Parasia Road Chhindwara Chhindw,Chhindwara,480001,Madhya Pradesh,No Data
APCV938,Aakar Photo Studio,Amol,Ganesh Tower2 Sarkar Nagar Tukum,Chandrapur,442401,Maharashtra,No Data
AHAS587,Aakar Sales Hardware Shoppy,Jagdish Patel,Badnera Rd Patvipura,Amravati,444601,Maharashtra,No Data
ASCV1086,Aakar Studio,Amol Meshram,Sarkar Nagar Ward No 3 Near Water Tank Mul Road Ho,Chandrapur,442401,Maharashtra,No Data
AMBP797,Aakarshan,Archit Sir,12 Chowk Bazaar Rd Sarafa Chowk Lakherapura Ibrahimpura Peer,Bhopal,462024,Madhya Pradesh,No Data
AABA26,Aakash Aluminium & Glass Work,Akash Akare,No Data,Bhandara,441904,Maharashtra,No Data
AABA27,Aakash Jyotish Paramarsh Kendra,Bhushan Tiwari,Gali Number 4 Jora Para Po Sarkanda,Bilaspur,495006,Chhattisgarh,No Data
ASBP1070,Aakriti Sanitary,Mahesh Asnaani,Shop No 2 Plot No 12 Zone 2 M P Nagar  Behind Icici Bank Zon,Bhopal,462016,Madhya Pradesh,No Data
AHNC664,Aaliqadr Enterprises,Hakkimuddin,Manish NagarBeltarodi Road   Near Lohar Samaj Bhavan Road,Nagpur,440015,Maharashtra,No Data
ACCV242,Aaliyan Civil Solution,Zeeshan Khalil,Nagina Bag Teacher Colony Sawaribangla Road Bimba Gate Roa,Chandrapur,442402,Maharashtra,No Data
APBD908,Aanandam Health Care,Dr Keshav Kumar Vishwakarma,Mig 118 Old Subhash Nagar Near Railway Fatak Subhash Nagar,Bhopal,431001,Madhya Pradesh,No Data
ABNG149,Aanchal Beauty Salon,Shital Bhagwat,Gokul Keshav Apartment Deo Nagar Square Deonagar Opposite Ve,Nagpur,440015,Maharashtra,No Data
AHNA662,Aap Ki Service,Abhishek Jain,Shweta(Ayush) Clinic Gandhi Nagar Near Govind Shree.Tripathi,Nagpur,431005,Maharashtra,No Data
ABBP132,Aapkibattery,Manish Khandagare,195-A Lower Ground Floor Infront Of Db Mall Zone-1 M.P Nagar,Bhopal,462001,Madhya Pradesh,No Data
ABBP133,Aapkibattery,Unknown,195-A Lower Ground Floor Infront Of Db Mall Zone-1 M.P N,Bhopal,462011,Madhya Pradesh,No Data
AMAJ773,Aapsingkar Maternity Hospital And Pain Clinic,Dr. Pramod Aapsingkar,Sajan Seth Complex Mondha Rd Bahadurpura Jaffer Gate,Aurangabad,442701,Maharashtra,No Data
ANAP831,Aapulaki Health Care Center And Nursing Bureau,Dr Prem Chauhan,No.1 Gajanan Maharaj Mandir Rd Garkheda,Aurangabad,431005,Maharashtra,No Data
ANAP832,Aapulaki Health Care Center And Nursing Bureau,Dr Prem Chauhan,No.1 Gajanan Maharaj Mandir Rd Garkheda,Aurangabad,431005,Maharashtra,No Data
ACBP227,Aaradhya Academy,Anand Sir,283 Zone 2 Zone 2 In Front Of Smart City Parking M P Nagarvi,Bhopal,462023,Madhya Pradesh,No Data
ACCV243,Aaradhya Construction,Nirbhay Sir,Near Raut Decoration Tukum,Chandrapur,442402,Maharashtra,No Data
ACCV244,Aaradhya Construction,Nirbhay Yadav,Near Raut Decoration Rayatwari Colliery Near Raut Decor,Chandrapur,442402,Maharashtra,No Data
AHAJ569,Aaradhya Hospital,Dr. Amol Patil,Shri Swami Samarth Shrusthi 1St Floor Varad Ganesh Mandir Ro,Aurangabad,462026,Maharashtra,No Data
APAJ877,Aaradhya Kennel,Sachin Jadhav,Kat Kat Gate Tv Center Road Aurangabad Ho,Aurangabad,440015,Maharashtra,No Data
ACAN159,Aarambh Construction,Ritesh Yamgawali,1St Floor Hundiwale Market Mangrulpir Road Khadki,Akola,444001,Maharashtra,No Data
AAND85,Aarav Academy Of Science,Dr. Ram Maskure,Plot No 5 Near Ashok Bearbar Kungu Colony Jaripatka (Map),Nagpur,462042,Maharashtra,No Data
ACAP168,Aarav Commerce Academy,Shital Sarda,House No.L9 Arihant Nagar Behind Akashwani Akashwani N,Aurangabad,431001,Maharashtra,No Data
ACNR305,Aarif Crane Services,Javed Sheikh,Plot No 60 Pardi Bhawani Nagar Pardi Near Kajal Bar,Nagpur,440035,Maharashtra,No Data
ATCR1157,Aarin Tatto,Pavan,Near Gulabra Gali No 5 Mahatma Gandhi Chowk Gulabra,Chhindwara,480001,Madhya Pradesh,No Data
AHBD602,Aarogya Shree Hospital,Dr. Rishi Singh,"E 3/235 On The Way From 1 No. Market To Ganesh Mandir 
Arera",Bhopal,462003,Madhya Pradesh,No Data
AAAP10,Aarogyam Ayurved And Panchakarm Clinic,Suhas Pakhare,State Bank Off India Kaulkhed Magarulpir Rod,Akola,444004,Maharashtra,No Data
APND959,"Aarogyam Clinic & Piles
 Relief Centre",Dr. Suryakant Dwivedi,Krims Hospital,Nagpur,431005,Maharashtra,No Data
AOAP855,Aarogyam Hospital,Dr Gaurav Mundada,Gangadhar Plots Station Road Infront Of Idbi Bank,Akola,444002,Maharashtra,No Data
AHBJ625,Aarogyam Naturopathy Centere,Dr. Jagdish Nirwan,No Data,Bhandara,441904,Maharashtra,No Data
ANAP833,Aarogyam Nursing Bureu And Care Centre,Arvind Kulkatni,No Data,Aurangabad,431136,Maharashtra,No Data
APAS898,Aarogyam Panchakarma Spa And Wellness,Rupesh Kale,Aarogyam Hospital Namuna Lane No 5 Rajkamal Squaree,Amravati,444601,Maharashtra,No Data
APAP883,Aarogyam Pathology Lab,Jawant Sir,Ratanlal Plots Near Raghuwanshi Mangal Karyalaya,Akola,444001,Maharashtra,No Data
APUP984,Aarogyam Physiotherapy Pain And Spine Care Center,Dr. Rakesh Bhargava,D 1/4 Dhanwantari Chikitsa Kendra Yojna Dr Colony Nanakheda,Ujjain,462016,Madhya Pradesh,No Data
ADAP330,Aarogyam Polyclinic,Dr Ashish Jaiswal,Shegaon Naka Rd Opposite Hdfc Bank Tarangan Nagar Siddhiv,Amravati,444604,Maharashtra,No Data
AHAJ570,Aarogyam Women And Children Care Hospital,Dr. Shamalee Sarode,Daulatabad Main Road Daulatabad  Near Daulatabad Fort,Aurangabad,440012,Maharashtra,No Data
ACNP283,Aarohi Bichayat Caterers,Puru Khobragade,Pno. 120 New Jijamata Layout Near/Gram Panchayat Bahadura  4,Nagpur,441204,Maharashtra,No Data
ACND283,Aarohi Bichayat Caterers,Puru Khobragade,"Pno. 120, New Jijamata Layout, Near/Gram Panchayat, Bahadura",Nagpur,441204,Maharashtra,No Data
AENM456,Aarohi Electricals,Amar,527/B Opp. Shiv Mandir Malagi Nagar Ashirwad Nagar,Nagpur,440024,Maharashtra,No Data
AOND871,Aarohi Orthopedic Clinic( Basic Charges Given 15 To 20 K ),Dr Prafulla Borkar,13 New Sneh Nagar Jaitala Road  Near Jaiprakash Nagar Metro,Nagpur,442701,Maharashtra,No Data
ATBA1132,Aarpan Institute,Dr Rohit Sahu,No Data,Bhandara,441904,Maharashtra,No Data
ACAV191,Aarti Collection,Aashish Navandar,Shop No 7 Badshah Market Pundlik Nagar Road Garkheda,Aurangabad,431005,Maharashtra,No Data
AEND446,Aarti Enterprises,Chandrakant Jaiswal,68 Aarti Medical Chowk Hanuman Nagar,Nagpur,440009,Maharashtra,No Data
AACV69,Aartii Kothari,Aarti Sanjay Kothari,Gandhi Chowk Sarafa Lane Sarkar Nagar Near Dastageer Darg,Chandrapur,442401,Maharashtra,No Data
AFBA482,Aarya Banners Advertising,Nitin Sakure,No Data,Bhandara,441904,Maharashtra,No Data
AEBA394,Aarya E Bikes And Batteries,Shruti Nitin Sakure,No Data,Bhandara,441904,Maharashtra,No Data
AMBA791,Aaryan Bajaj,Roshan Mahakalkar,No Data,Bhandara,441904,Maharashtra,No Data
ADYA377,Aas Superspeciality Dental Care Implant Center,Dr Amruta Shendage,Mainde Square Vidharbha Housing Town  In Front Of Sbi,Yavatmal,445001,Maharashtra,No Data
ACAJ157,Aasawa Brothers Commerce Academy,Someshwar Aasawa,Shrinath Complex New Sbh Colony Jyoti Nagar New Usmanpura,Aurangabad,440012,Maharashtra,No Data
ADAJ322,Aasha Kendra Ardhangwayu Dawakhana Badnapur,Dr Shinde,Jalna Road Shekta Aurangabadmaharashtra 431007 Near Mobi,Aurangabad,431007,Maharashtra,No Data
ABAJ112,Aashapurti Banquet Hall,Jitesh Jaiswal Sir,Aashapurti Business Hub / Cidco Bus Stand To Kamgar Chowk R,Aurangabad,431007,Maharashtra,No Data
ACAS184,Aasharvad Clinic,Dr. Vivek M Pihulkar,C/O Ashirwad Clinic Shubham Palace Old By Pass Road Yasho,Amravati,444606,Maharashtra,No Data
ALAP751,Aashirwad Lawns And Mangal Karyalay,Vishwakant Jadhav,Limbe Jalgaon Nagarpune Highway Near Waluj Midc Limbe Ja,Aurangabad,431133,Maharashtra,No Data
AHBP603,Aashirwad Multispeciality Hospital,Dr.Chovhan,Awadhpuri,Bhopal,462026,Madhya Pradesh,No Data
AHBD603,Aashirwad Multispeciality Hospital,Unknown,63 Awadhpuri Aradhana Nagar,Bhopal,462022,Madhya Pradesh,No Data
AHBD604,Aashirwad Womens Hospital,Dr. Aparajita Sharma,"94 Hazrat Nizamuddin Colony 
Sector A Ayodhya Nagar",Bhopal,462042,Madhya Pradesh,No Data
AHBP631,Aashirwad Women'S Hospital,Rakesh Chawda,Badabagh Shahjahanabad,Bhopal,462023,Madhya Pradesh,No Data
ARNR1014,Aashiya Builders & Developers,B.G. Kamble,4J3 Uday Nagar Rd Uday Nagar Manewada,Nagpur,440024,Maharashtra,No Data
ACAN160,Aashoo Consultancy,Mahesh Sir,Shop No. 35 Gmd Market Shitala Mata Square Jawahar Road Ram,Akola,444001,Maharashtra,No Data
AEBA395,Aashoo Electricals,Ajay Nikhar,No Data,Bhandara,441904,Maharashtra,No Data
ARNR1013,Aashray Real Estate,Rutuja Maam,Shram Safalya Building 2Nd Floor Opp Sahyandri Lawn Omkar Na,Nagpur,440027,Maharashtra,No Data
ARNA1013,Aashray Real Estate,Nikesh Hatwar,Shram Safalya Building 2 And Floor Op Sahayadri Lawn Omkar N,Nagpur,440025,Maharashtra,No Data
ACBD207,Aashraya Clinic,Dr Annant Choubey,S.No. A3 Bhawan No. 343  J K Hospital Road Kolar,Bhopal,431001,Madhya Pradesh,No Data
AHNR687,Aastha Critical Care & Avatar Meher Baba Hospital & Research Centre,Dr. Piyush Shinde,Plot No 86 Ring Road Opposite To Balaji Sabhagruha Suyog Nag,Nagpur,440015,Maharashtra,No Data
AABP52,Aastha Enterprises,Ramkrishna Verma,Shop No. 2 Sterling Crystal Colony Near Ci Hyundai Hoshangab,Bhopal,462001,Madhya Pradesh,No Data
AGBA52,Aastha Enterprises,Ashok Gupt,Main Road Bannak Chowk Sirgitti Near Shiv Mandir,Bilaspur,495004,Chhattisgarh,No Data
ADAJ323,Aastha Foundation,Jayant Sangwikar,Dilip Priti Plaza Shop No. G15 Khamla Rd Beside Life Care Ho,Aurangabad,462001,Maharashtra,No Data
ADAJ324,Aastha Foundation,Jayant Sangwikar,C 42/8 11 Scheeme Shivaji Nagar Road Shivaji Nagar  Near Rai,Aurangabad,462039,Maharashtra,No Data
AEAJ379,Aastha Foundation Aurangabad,Mr Jayant Sangwikar,"Shri Sankul, Flat No 1, Plot No 12, Shreya Nagar, New Osmanp",Aurangabad,431005,Maharashtra,No Data
AHNR688,Aastha Homeopathic N Diet Clinic,Dr. Vinita Agrwal,Canal Rd NewNo Datadanvan LayoutNo Datadanvan,Nagpur,440009,Maharashtra,No Data
